,speaker,time,text,debate
392,Donald Trump,00:22:06,China ate your lunch- [crosstalk 00:00:22:07].,1
393,Joe Biden,00:22:08,… with Mexico.,1
394,Donald Trump,00:22:09,"China ate your lunch, Joe. And no wonder your son goes in and he takes out billions of dollars. He takes out billions of dollars to manage. He makes millions of dollars. And also, while we’re at it, why is it just out of curiosity, the mayor of Moscow’s wife gave you a son three and a half million dollars?",1
395,Joe Biden,00:22:28,That is not true.,1
396,Donald Trump,00:22:28,What did he do to deserve it? What did he do with-,1
397,Joe Biden,00:22:31,None of that is true.,1
398,Donald Trump,00:22:31,"… to deserve $183,000?",1
399,Moderator,00:22:31,"Sir, you’ve asked him a question, let him answer it.",1
400,Joe Biden,00:22:37,None of that is true.,1
401,Donald Trump,00:22:38,"Oh really, he didn’t get three and a half million?",1
402,Moderator,00:22:39,Mr. President-,1
403,Joe Biden,00:22:40,Is totally-,1
404,Moderator,00:22:41,"Mr. President, please. You’ve asked a question- [crosstalk 00:22:41]",1
405,Joe Biden,00:22:41,Totally discredited. Totally discredited. And by the way-,1
406,Donald Trump,00:22:45,"Well wait, he didn’t get three and a half million dollars, Joe?",1
407,Joe Biden,00:22:48,Mr. Vice-,1
408,Donald Trump,00:22:48,He got three and a half million-,1
409,Moderator,00:22:49,Mr. President.,1
410,Donald Trump,00:22:49,… dollars.,1
411,Joe Biden,00:22:50,That is not true.,1
412,Donald Trump,00:22:51,"Oh, really?",1
413,Moderator,00:22:51,"Mr. President, it’s an open discussion. Please- [crosstalk 00:22:56]",1
414,Donald Trump,00:22:56,It’s a fact.,1
415,Joe Biden,00:22:57,It is not a fact.,1
416,Moderator,00:22:57,"Well, you have raised an issue, let the Vice President answer.",1
417,Joe Biden,00:23:00,It’s been totally discredited.,1
418,Donald Trump,00:23:01,"Did Burisma pay him 183,000 a month, with no experience in energy?",1
419,Moderator,00:23:06,Mr. President-,1
420,Joe Biden,00:23:07,My son did nothing wrong at Barisma-,1
421,Donald Trump,00:23:10,I think he did.,1
422,Moderator,00:23:10,"Mr. President, let him answer. [crosstalk 00:23:13].",1
423,Joe Biden,00:23:11,"He doesn’t want to let me answer, because he knows I have the truth. His position has been totally thoroughly discredited-",1
424,Donald Trump,00:23:20,By who?,1
425,Joe Biden,00:23:20,And you can-,1
426,Donald Trump,00:23:20,The media.,1
427,Joe Biden,00:23:20,"by everybody. Well, by the media, by our allies.",1
428,Donald Trump,00:23:23,"By the media, because they refuse to talk about it-",1
429,Joe Biden,00:23:23,By the World Bank-,1
430,Donald Trump,00:23:24,… because they’re embarrassed.,1
431,Joe Biden,00:23:27,"By everyone, has discredited. And matter of fact [crosstalk 00:23:30] Matter of fact-",1
432,Moderator,00:23:30,"Mr. President, please stop.",1
433,Joe Biden,00:23:31,Even the people who testified under oath-,1
434,Donald Trump,00:23:33,"So let me ask you this, Joe- [crosstalk 00:23:35].",1
435,Moderator,00:23:36,"Go ahead, I’m listening to you.",1
436,Joe Biden,00:23:37,Even the people under-,1
437,Donald Trump,00:23:38,He got three and a half million dollars from Moscow.,1
438,Joe Biden,00:23:40,… testified under oath in his administration said I did my job and I did it very well.,1
439,Donald Trump,00:23:47,"Oh, really?",1
440,Joe Biden,00:23:47,I did it honorably.,1
441,Donald Trump,00:23:47,I’d like to know who they are.,1
442,Joe Biden,00:23:48,"Well, I’ll give you the list of the people who-",1
443,Donald Trump,00:23:50,I’ll fire them.,1
444,Moderator,00:23:50,"No, no. Go ahead, sir.",1
445,Joe Biden,00:23:51,"I’m sure that you’ve already fired most of them, because they did a good job.",1
446,Donald Trump,00:23:54,Some people don’t do a good job.,1
447,Joe Biden,00:23:55,"Well, here’s the- [crosstalk 00:23:57]",1
448,Moderator,00:23:57,"Go ahead. You get the- [crosstalk 00:23:57] Wait a minute. You get the final word, Mr.-",1
449,Joe Biden,00:23:59,"Well, it’s hard to get any word in with this clown. Excuse me, this person.",1
450,Donald Trump,00:24:02,"Hey, let me just tell you, Joe-",1
451,Joe Biden,00:24:03,"No, no. Mr. President- [crosstalk 00:24:05]",1
452,Donald Trump,00:24:04,"Three and a half million, Joe.",1
453,Joe Biden,00:24:06,That is simply not true.,1
454,Donald Trump,00:24:07,Why did he deserve three and a half million from Moscow?,1
455,Joe Biden,00:24:09,"Look, here’s the deal. We want to talk about families and ethics. I don’t want to do that. I mean, his family, we could talk about all night. His family’s already-",1
456,Donald Trump,00:24:19,My family-,1
457,Moderator,00:24:20,"No, no- [crosstalk 00:06:20].",1
458,Donald Trump,00:24:20,My family lost a fortune by coming down and helping us with governance.,1
459,Joe Biden,00:24:24,And that’s such a- [crosstalk 00:24:25],1
460,Moderator,00:24:25,Mr. President-,1
461,Donald Trump,00:24:26,Every single one of them lost a fortune-,1
462,Joe Biden,00:24:27,"This is not about my family or his family. It’s about your family, the American people. [crosstalk 00:24:32] That’s not true. It doesn’t want to talk about what you need. You, the American people, it’s about you. That’s what we’re talking about here. [crosstalk 00:24:42]",1
463,Moderator,00:24:43,That’s the end of the segment. We’re moving on.,1
464,Joe Biden,00:24:46,He didn’t take that.,1
465,Moderator,00:24:47,Vice President-,1
466,Donald Trump,00:24:47,"Chris, can I be honest? It’s a very important question-",1
467,Joe Biden,00:24:49,Try to be honest.,1
468,Moderator,00:24:50,No.,1
469,Donald Trump,00:24:50,He stood up-,1
470,Moderator,00:24:52,The answer to the question is no.,1
471,Donald Trump,00:24:53,… and the threatened Ukraine-,1
472,Moderator,00:24:55,Sir-,1
473,Donald Trump,00:24:55,… with a billion dollars-,1
474,Joe Biden,00:24:57,That is absolutely not true.,1
475,Moderator,00:25:01,"Stop. [crosstalk 00:25:02] Gentlemen, I hate to raise my voice, but I- [crosstalk 00:25:05] Why should I be different than the two of you? So here’s the deal.",1
476,Joe Biden,00:25:09,That’s a good point.,1
477,Moderator,00:25:09,"We have six segments. We have ended that segment. We’re going to go to the next segment. In that segment, you each are going to have two uninterrupted moments. In those two interrupted minutes, Mr. President, you can say anything you want. I’m going to ask a question about race, but if you want to answer about something else, go ahead. But I think that the country would be better served, if we allowed both people to speak with fewer interruptions. I’m appealing to you, sir, to do that.",1
478,Donald Trump,00:25:37,"Well, and him too.",1
479,Moderator,00:25:38,"Well, frankly, you’ve been doing more interrupting than he has.",1
480,Donald Trump,00:25:40,"Well, that’s all right, but he does plenty.",1
481,Moderator,00:25:41,"Well, sir, less than-",1
482,Donald Trump,00:25:43,He does plenty.,1
483,Moderator,00:25:43,"No, less than you have. Let’s please continue on. The issue of rice. Vice-President Biden, you say that President Trump’s response to the violence in Charlottesville three years ago, when he talked about very fine people on both sides, was what directly led you to launch this run for president.",1
484,Donald Trump,00:26:05,"Oh yeah, sure.",1
485,Moderator,00:26:06,"President Trump, you have often said that you believe you will have done more for Black Americans than any president with the possible exception of Abraham Lincoln.",1
486,Donald Trump,00:26:16,That’s true.,1
487,Moderator,00:26:16,"My question for the two of you, is why should voters trust you rather than your opponent to deal with the race issues facing this country over the next four years? Vice President Biden, you go first.",1
488,Joe Biden,00:26:29,"It’s about equity and equality. It’s about decency. It’s about the constitution. And we have never walked away from trying to require equity for everyone, equality for the whole of America. But we’ve never accomplished it, but we’ve never walked away from it like he has done. It is true, the reason I got in the race is when those people… Close your eyes, remember what those people look like coming out of the fields, carrying torches, their veins bulging, just spewing anti-Semitic bile and accompanied by the Ku Klux Klan. A young woman got killed and they asked the president what he thought. He said, “There were very fine people on both sides.” No president’s ever said anything like that. [crosstalk 00:27:10].",1
489,Moderator,00:27:11,It is his-,1
490,Joe Biden,00:27:12,Now-,1
491,Moderator,00:27:12,… minute sir.,1
492,Joe Biden,00:27:13,"… second point I’d make to you, is that when Floyd was killed, when Mr. Floyd was killed, there was a peaceful protest in front of the White House. What did he do? He came out of his bunker, had the military use tear gas on them so he could walk across to a church and hold up a Bible. And then what happened after that? The Bishop of that very church said that it was a disgrace. The general who was with him said all he ever wants to do is divide people, not unite people at all. This is a president who has used everything as a dog whistle, to try to generate racists hatred, racist division.",1
493,Joe Biden,00:27:50,"This is a man who, in fact, you talk about helping African-Americans, one in 1000 African Americans has been killed because of the coronavirus. And if he doesn’t do something quickly, by the end of the year, one in 500 will have been killed. One in 500 African Americans. This man is as a savior of African-Americans? This man cares at all? This man’s done virtually nothing. Look, the fact is that you have to look at what he talks about. You have to look at what he did. And what he did has been disastrous for the African-American community.",1
494,Donald Trump,00:28:27,So-,1
495,Moderator,00:28:28,"President Trump, you have two minutes. Why should Americans trust you over your opponent to deal race issues?",1
496,Donald Trump,00:28:34,"You did a crime bill, 1994, where you call them super predators. African-Americans are super predators and they’ve never forgotten it. They’ve never forgotten it.",1
497,Joe Biden,00:28:43,I’ve never said-,1
498,Moderator,00:28:44,"No, no, sir. It’s his two minutes.",1
499,Donald Trump,00:28:45,"So you did that and they call you a super predator and I’m letting people out of jail now, that you have treated the African-American population community, you have treated the black community about as bad as anybody in this country. You did the 1990… And that’s why, if you look at the polls, I’m doing better than any Republican has done in a long time, because they saw what you did. You call them super predators, and you’ve called them worse than that. Because you look back at your testimony over the years, you’ve called them a lot worse than that. As far as the church is concerned and as far as the generals are concerned, we just got the support of 250 military leaders and generals, total support. Law enforcement, almost every law enforcement group in the United States. I have Florida. I have Texas. I have Ohio. I have every… Excuse me, Portland, the sheriff just came out today and he said, “I support President Trump.”",1
500,Donald Trump,00:29:39,"I don’t think you have any law enforcement. You can’t even say the word law enforcement. Because if you say those words, you’re going to lose all of your radical left supporters. And why aren’t you saying those words, Joe? Why don’t you say the words law enforcement? Because you know what? If called us in Portland, we would put out that fire in a half an hour. But they won’t do it, because they’re run by radical left Democrats. If you look at Chicago, if you look at any place you want to look, Seattle, they heard we were coming in the following day and they put up their hands and we got back Seattle. Minneapolis, we got it back, Joe, because we believe in law and order, but you don’t. The top 10 cities and just about the top 40 cities are run by Democrats, and in many cases radical left. And they’ve got you wrapped around their finger, Joe, to a point where you don’t want to say anything about law and order. And I’ll tell you what, the people of this country want and demand law and order and you’re afraid to even say it.",1
501,Moderator,00:30:35,"All right. I want to return to the question of race. Vice President Biden, after the grand jury in the Breonna Taylor case decided not to charge any of the police with homicide, you said it raises the question, “Whether justice could be equally applied in America.” Do you believe that there is a separate but unequal system of justice for Blacks in this country?",1
502,Joe Biden,00:30:59,"Yes, there is. There’s systemic injustice in this country, in education and work and in law enforcement and the way in which it’s enforced. But look, the vast majority of police officers are good, decent, honorable men and women. They risk their lives every day to take care of us, but there are some bad apples. And when they occur, when they find them, they have to be sorted out. They have to be held accountable. They have to be held accountable. And what I’m going to do as President of the United States is call together an entire group of people at the White House, everything from the civil rights groups, to the police officers, to the police chiefs, and we’re going to work this out.",1
503,Joe Biden,00:31:38,"We’re going to work this out. So we changed the way in which we have more transparency, in when these things happen. These cops aren’t happy to see what happened to George Floyd. These cops aren’t happy to see what happened to Breonna Taylor. Most don’t like it, but we have to have a system where people are held accountable when… And by the way, violence in response is never appropriate, never appropriate. Peaceful protest is, violence is never appropriate.",1
504,Moderator,00:32:04,"All right, Mr.-",1
505,Donald Trump,00:32:05,What is peaceful protest? When they run through the middle of the town-,1
506,Moderator,00:32:08,President Trump-,1
507,Donald Trump,00:32:09,… and burn down your stores and kill people all over the place- [crosstalk 00:32:14].,1
508,Joe Biden,00:32:11,That is not peaceful protest.,1
509,Donald Trump,00:32:13,"No it’s not, but you say it is.",1
510,Moderator,00:32:15,"President Trump, I’d like to continue with the issue of race. I promise we’re going to get to the issue of law and order in a moment.",1
511,Donald Trump,00:32:21,Fine.,1
512,Moderator,00:32:21,"This month, your administration directed federal agencies to end racial sensitivity training that addresses white privilege or critical race theory. Why did you decide to do that, to end racial sensitivity training? And do you believe that there is systemic racism in this country, sir?",1
513,Donald Trump,00:32:42,"I ended it because it’s racist. I ended it because a lot of people were complaining that they were asked to do things that were absolutely insane. That it a radical revolution that was taking place in our military, in our schools, all over the place. And you know it, and so does everybody else. And he would know it- [crosstalk 00:33:02]",1
514,Moderator,00:33:02,What is radical about racial sensitivity training?,1
515,Donald Trump,00:33:05,"If you were a certain person, you had no status in life. It was sort of a reversal. And if you look at the people, we were paying people hundreds of thousands of dollars to teach very bad ideas and frankly, very sick ideas. And really, they were teaching people to hate our country And I’m not going to do that. I’m not going to allow that to happen. We have to go back to the core values of this country. They were teaching people that our country is a horrible place. It’s a racist place. And they were teaching people to hate our country. And I’m not going to allow that to happen.",1
516,Moderator,00:33:38,Vice President Biden.,1
517,Joe Biden,00:33:39,Nobody’s doing that. He’s the racist.,1
518,Donald Trump,00:33:42,You just don’t know.,1
519,Joe Biden,00:33:43,Here’s the deal. I know a lot more about this- [crosstalk 00:15:43].,1
520,Moderator,00:33:45,Let him finish.,1
521,Joe Biden,00:33:47,"The fact is that there is racial insensitivity. People have to be made aware of what other people feel like, what insults them, what is demeaning to them. It’s important people know. Many people don’t want to hurt other people’s feelings, but it makes a big difference. It makes a gigantic difference in the way a child is able to grow up and have a sense of self-esteem. It’s a little bit like how this guy and his friends look down on so many people. They look down their nose on people like Irish Catholics, like me, who grow up in Scranton. They look down on people who don’t have money. They look down on people who are of a different faith. They looked down on people who are a different color. In fact, we’re all Americans. The only way we’re going to bring this country together is bring everybody together. There’s nothing we cannot do, if we do it together. We can take this on and we can defeat racism in American.",1
522,Moderator,00:34:41,"Vice President… I mean, President Trump, sir.",1
523,Donald Trump,00:34:43,"During the Obama-Biden administration, there was tremendous division. There was hatred. You look at Ferguson, you look at, or you go to very… Many places, look at Oakland. Look what happened in Oakland. Look what happened in Baltimore. Look what happened… Frankly, it was more violent than what I’m even seeing now.",1
524,Joe Biden,00:35:01,Oh my Lord.,1
525,Donald Trump,00:35:01,But the reason-,1
526,Joe Biden,00:35:02,This is ridiculous.,1
527,Donald Trump,00:35:03,… is that the Democrats that run these cities-,1
528,Joe Biden,00:35:05,Absolutely ridiculous.,1
529,Donald Trump,00:35:06,"… don’t want to talk, like you, about law and order.",1
530,Joe Biden,00:35:08,Violent crime-,1
531,Donald Trump,00:35:09,And you still haven’t mentioned. Are you in favor of law and order?,1
532,Joe Biden,00:35:12,I’m in favor of law. You- [crosstalk 00:35:15].,1
533,Donald Trump,00:35:14,Are you in favor of law and order? [crosstalk 00:35:17],1
534,Moderator,00:35:16,"You asked a question, let him finish. [crosstalk 00:35:18] Let him answer.",1
535,Joe Biden,00:35:20,"Law and order with justice, where people get treated fairly.",1
536,Donald Trump,00:35:23,Okay.,1
537,Joe Biden,00:35:24,"And the fact of the matter is, violent crime went down 17%, 15% in our administration. It’s gone up on his watch.",1
538,Donald Trump,00:35:31,It went down much more in ours.,1
539,Moderator,00:35:33,"All right, we’re done- [crosstalk 00:35:35] Mr. President, you’re going to be very happy because we’re now going to talk about law and order.",1
540,Donald Trump,00:35:41,The places we had trouble were democratic run cities-,1
541,Moderator,00:35:44,"That’s exactly my question. There has been a dramatic increase in homicides in America this summer particularly, and you often blame that on democratic mayors and democratic governors. But in fact, there have been equivalent spikes in Republican led cities, like Tulsa and Fort Worth. So the question is, is this really a…",1
542,Moderator,00:36:03,"It’s like Tulsa and Fort worth. So the question is, is this really a party issue?",1
543,Donald Trump,00:36:05,"I think as a party issue, you can bring in a couple of examples but if you look at Chicago, what’s going on in Chicago where a 53 people were shot and eight died shot, if you look at New York where it’s going up, like nobody’s ever seen anything. The numbers are going up a 100%, 150%, 200% crime, it is crazy what’s going on and he doesn’t want to say law and order because he can’t because he’ll lose his radical left supporters and once he does that, it’s over with. But if he ever got to run this country and they ran it the way he would want to run it, we would have by the way our suburbs would be gone. And you would see problems like you’ve never seen before.",1
544,Joe Biden,00:36:45,He wouldn’t know a suburb unless you took a wrong turn.,1
545,Donald Trump,00:36:47,"Oh, I know suburbs so much that you.",1
546,Moderator,00:36:48,Gentlemen wait a minute.,1
547,Joe Biden,00:36:50,"I was raised in the suburbs. This is not 1950. All these dog whistles and racism don’t work anymore. Suburbs are by and large integrated. There’s many people today driving their kids to soccer practice and/or black and white and Hispanic in the same car as there have been any time in the past, what really is a threat to the suburbs and their safety is his failure to deal with COVID. They’re dying in the suburbs. His failure to deal with the environment, they’re being flooded, they’re being burned out because his refusal to do anything. That’s why the suburbs are in trouble.",1
548,Moderator,00:37:23,"I do want to talk about this issue of law and order though. And in the joint recommendation that came from the Biden-Bernie Sanders task force, you talked about quote re-imagining policing. First of all, what does re-imagining policing mean and do you support? If I might finish the question, what does re-imagining policing mean and do you support the Black Lives Matter call for community control of policing?",1
549,Joe Biden,00:37:54,"Look, what I support are the police having the opportunity to deal with the problems they face and I’m totally opposed to defunding the police offices. As a matter of fact police, local police, the only one defunding in his budget calls for a $400 million cut in local law enforcement assistance. They need more assistance. They need when they show up for a 9-11 call to have someone with them as a psychologist or psychiatrist to keep them from having to use force and be able to talk people down. We have to have community policing like we had before where the officers get to know the people in the communities. That’s when crime went down, it didn’t go up. It went down. And so we have to be…",1
550,Donald Trump,00:38:35,That’s not what they are talking about this. That’s not what it is about. He’s talking about defunding the police.,1
551,Joe Biden,00:38:39,That is not true.,1
552,Donald Trump,00:38:40,He doesn’t have any law support. He has no law enforcement.,1
553,Joe Biden,00:38:45,That’s not true.,1
554,Donald Trump,00:38:45,"He has almost nothing. Oh, really, who do you have name one group that supports you name one group that came out and supported you. Go ahead. Think we have time.",1
555,Joe Biden,00:38:54,We don’t have time to do anything.,1
556,Donald Trump,00:38:55,"No, no think right now. Name one law enforcement group that came out in support of you.",1
557,Moderator,00:39:00,"Now, gentleman. I think I’m going to tell I’m going to take back the bottom line.",1
558,Donald Trump,00:39:03,There aren’t any.,1
559,Moderator,00:39:04,"And I want to get to another subject, which is the issue of protests in many cities that have turned violent in Portland, Oregon, especially we had more than a 100 straight days of protests, which I think you would agree, you talk about peaceful protests. Many of those turned into riots. Mr. Vice-president you say that people who commit crimes should be held accountable. The question I have though is as the democratic nominee, and earlier tonight, you said that you are the Democratic Party right now, have you ever called the Democratic Mayor of Portland or the Democratic Governor of Oregon and said, “Hey, you got to stop this, bring in the National Guard, do whatever it takes, but you’d stop the days and months of violence in Portland.”",1
560,Joe Biden,00:39:50,I don’t hold public office. Now I am a former vice president. I’ve made it clear. I’ve made it clear in my public statements that the violence should be prosecuted. It should be prosecuted and anyone who committed it should be prosecuted.,1
561,Moderator,00:40:02,But you’ve never called for the people…,1
562,Donald Trump,00:40:02,He’s never done that.,1
563,Moderator,00:40:02,"Excuse me, sir. You had never called for the leaders in Portland and in Oregon to call and bring in the National Guard and knock off a 100 days of riots.",1
564,Joe Biden,00:40:15,They can in fact take care of it if he just stay out of the way.,1
565,Donald Trump,00:40:19,Oh really? I sent in the US Marshalls to get the killer of a young man in the middle of the street and they shot him for three days Portland didn’t do anything. I sent in the US Marshals they took care of business.,1
566,Moderator,00:40:33,Go ahead sir.,1
567,Joe Biden,00:40:34,"And by the way his own former spokesperson said, “Riots and chaos and violence help he cause.” That’s what this is all about.",1
568,Donald Trump,00:40:43,I don’t know who said that.,1
569,Joe Biden,00:40:44,I do.,1
570,Donald Trump,00:40:45,Who?,1
571,Joe Biden,00:40:46,I think Kellyanne Conway.,1
572,Donald Trump,00:40:48,I don’t think she said that.,1
573,Joe Biden,00:40:48,She said that.,1
574,Donald Trump,00:40:49,I don’t think so.,1
575,Joe Biden,00:40:50,"Here’s the point, the point is that that’s why he keeps trying to rile everything up. He doesn’t want to calm things down instead of going in and talking to people and saying, “Let’s get everybody together. Figure out how to deal with this.” What’s he do? He just pours gasoline in the fire constantly and every single solitary time.",1
576,Moderator,00:41:10,"Okay. And to end this, button up this segment I’m going to give you a minute to answer, sir. You have repeatedly criticized…",1
577,Donald Trump,00:41:16,Does it mean I have to answer his stuff.,1
578,Moderator,00:41:17,You have repeatedly…,1
579,Donald Trump,00:41:18,"Wait a second, you have made a statement.",1
580,Moderator,00:41:19,You’ve been talking back and forth. I’m asking you.,1
581,Donald Trump,00:41:22,I would love to end it.,1
582,Moderator,00:41:24,You know sir if you want to switch seats we could very quickly can do that.,1
583,Donald Trump,00:41:28,"I’ll send in the National Guard, it would be over. That’d be no problem. But I don’t want to accept the National Guard.",1
584,Moderator,00:41:33,You have repeatedly criticized the vice president for not specifically calling out Antifa and other left wing extremist groups. But are you willing tonight to condemn white supremacists and militia group and to say that they need to stand down and not add to the violence in a number of these cities as we saw in Kenosha and as we’ve seen in Portland.,1
585,Donald Trump,00:41:57,"Sure, I’m will to do that.",1
586,Moderator,00:41:59,Are you prepared specifically to do it.,1
587,Donald Trump,00:42:00,I would say almost everything I see is from the left wing not from the right wing.,1
588,Moderator,00:42:04,But what are you saying?,1
589,Donald Trump,00:42:06,I’m willing to do anything. I want to see peace.,1
590,Moderator,00:42:08,"Well, do it, sir.",1
591,Joe Biden,00:42:09,"Say it, do it say it.",1
592,Donald Trump,00:42:10,"What do you want to call them? Give me a name, give me a name, go ahead who do you want me to condemn.",1
593,Moderator,00:42:14,White supremacist and right-wing militia.,1
594,Joe Biden,00:42:14,Proud Boys.,1
595,Donald Trump,00:42:18,"Proud Boys, stand back and stand by. But I’ll tell you what somebody’s got to do something about Antifa and the left because this is not a right wing problem this is a left wing…",1
596,Joe Biden,00:42:28,"His own FBI Director said unlike white supremacist, Antifa is an idea not an organization-",1
597,Donald Trump,00:42:35,Oh you got to be kidding me.,1
598,Joe Biden,00:42:36,… not a militia. That’s what his FBI Director said.,1
599,Donald Trump,00:42:41,"Well, then you know what, he’s wrong.",1
600,Moderator,00:42:42,"We’re done, sir. Moving onto the next… [crosstalk 00:42:46]",1
601,Donald Trump,00:42:46,Antifa is bad.,1
602,Joe Biden,00:42:47,"Every body in your administration tells you the truth, it’s a bad idea. You have no idea about anything.",1
603,Donald Trump,00:42:53,"You know what, Antifa is a dangerous radical group.",1
604,Moderator,00:42:56,"All right, gentlemen we’re now moving onto the Trump-Biden record.",1
605,Donald Trump,00:42:58,"And you ought to be careful of them, they’ll over throw you.",1
606,Moderator,00:43:00,"I’m going to ask a question. When the president seeks a second term, it is generally a referendum on his record but vice president Biden, you’d like to quote one of your dad’s sayings, which is don’t compare me to the almighty, compare me to the alternative. And in this case sir you are the alternative. Looking at both of your records, I’m going to ask each of you. Why should voters elect you president over your opponent in this segment, President Trump you’ll go first, two minutes.",1
607,Donald Trump,00:43:30,"Because there is never been an administration or president who has done more than I’ve done in a period of three and a half years. And that’s despite the impeachment hoax and you so what happened today with Hillary Clinton, where it was a whole big con job. But despite going through all of these things where I had a fight, both flanks and behind me and above there has never been an administration that’s done what I’ve done. The greatest, before COVID came in the greatest economy in history, lowest unemployment numbers, everything was good. Everything was going.",1
608,Donald Trump,00:44:03,"And by the way, there was unity going to happen. People were calling me for the first time in years, they were calling and they were saying it’s time maybe and then what happened? We got hit. But now we’re building it back up again. A rebuilding of the military, including Space Force and all of the other things. A fixing of the VA which was a mess under him, 308,000 people died because they didn’t have proper health care. It was a mess. And we now got a 91% approval rating at the VA, our vets. We take care of our vets. But we’ve rebuilt our military. And I’ll tell you something, some people say maybe the most important by the end of the first term I’ll have approximately 300 Federal judges and Court of Appeals judges, 300 and hopefully three great Supreme Court judges, justices that is a record the likes of which very few people and one of the reasons I’ll have so many judges because President Obama and him left me 128 judges to fill.",1
609,Donald Trump,00:45:05,"When you leave office, you don’t leave any judges. That’s like, you just don’t do that. They left 128 openings and if I were a member of his party, because they have a little different philosophy, I’d say, if you left us 128 openings you can’t be a good president. You can’t be a good vice president but I want to thank you because it gives us almost, it’ll probably be above that number. By the end of this term, 300 judges. It’s a record.",1
610,Moderator,00:45:34,"Looking at both of your records. Why should voters elect you President as opposed to president Trump, you have two minutes uninterrupted.",1
611,Joe Biden,00:45:42,"Under this president, we become weaker, sicker, poor, more divided and more violent. When I was vice president, we inherited a recession. I was asked to fix it. I did. We left him a booming economy and he caused the recession. With regard to being weaker, the fact is that I’ve gone head to head with Putin and made it clear to him we’re not going to take any of his stuff. He’s Putin’s puppy. He still refuses to even say anything to Putin about the bounty on the heads of American soldiers.",1
612,Donald Trump,00:46:14,You son got three and a half million dollars.,1
613,Joe Biden,00:46:17,"By the way, my son…",1
614,Moderator,00:46:19,"Wait a minute. Mr. President, your campaign agreed to both sides would get two minute answers, uninterrupted. Well, you’re a side agreed to it and why don’t you observe what your campaign agreed to as a ground rule. Okay, sir?",1
615,Joe Biden,00:46:33,He never keeps his word.,1
616,Moderator,00:46:34,"No, that was a rhetorical question.",1
617,Joe Biden,00:46:37,Can you get back 30 seconds?,1
618,Moderator,00:46:39,"Yes. You may have, go ahead.",1
619,Joe Biden,00:46:42,"So thirdly, we’re poor. The billionaires have gotten much more wealthy by a tune of over $3- $400 billion more just since COVID. You in the home, you got less you’re in more trouble than you were before. In terms of being more violent. When we were in office there were 15% less violence in America than there is today. He’s President United States. It’s on his watch. And with regard to more divided the nation, it can’t stay divided. We can’t be this way. And speaking of my son, the way you talk about the military, the way you talk about them being losers and being and just being suckers. My son was in Iraq. He spent a year there. He got the Brown Star. He got the Conspicuous Service Medal. He was not a loser. He was a Patriot and the people left behind there were heroes.",1
620,Donald Trump,00:47:39,Really?,1
621,Joe Biden,00:47:39,And I resent-,1
622,Donald Trump,00:47:40,"Are you talking Hunter, are you talking about Hunter.",1
623,Joe Biden,00:47:42,"I’m talking about my son, Beau Biden, you’re talking about Hunter?",1
624,Donald Trump,00:47:44,I don’t know Beau. I know Hunter. Hunter got thrown out of the military. He was thrown out dishonorably discharged.,1
625,Joe Biden,00:47:51,That’s not true he was not dishonorably discharged.,1
626,Donald Trump,00:47:53,For cocaine use. And he didn’t have a job until you became vice president.,1
627,Joe Biden,00:47:56,None of that is true.,1
628,Donald Trump,00:47:56,"Once you became vice president he made a fortune in Ukraine, in China, in Moscow and various other places.",1
629,Joe Biden,00:48:01,That is not true.,1
630,Donald Trump,00:48:04,He made a fortune and he didn’t have a job.,1
631,Joe Biden,00:48:07,"My son like a lot of people at home had a drug problem. He’s overtaking it. He’s fixed it. He’s worked on it. And I’m proud of him, I’m proud of my son.",1
632,Donald Trump,00:48:17,But why was he given tens of millions of dollars?,1
633,Joe Biden,00:48:19,He wasn’t given tens of millions of dollars. [crosstalk 00:48:23] It was all discredited.,1
634,Moderator,00:48:27,"We’ve already been through this. I think the American people would rather hear about more substantial subjects. Well, as the moderator, sir, I’m going to make a judgment call here.",1
635,Donald Trump,00:48:35,I know but when somebody gets three and a half million dollars from the Mayor of Moscow.,1
636,Joe Biden,00:48:39,That is not true. That report is totally discredited.,1
637,Donald Trump,00:48:43,Why did he get it?,1
638,Joe Biden,00:48:45,Mitt Romney on that committee said it wasn’t worth taxpayer’s money. That report was written for political reason.,1
639,Moderator,00:48:50,I’d like to talk about climate change.,1
640,Joe Biden,00:48:52,So would I.,1
641,Moderator,00:48:53,"Okay. The forest fires in the West are raging now. They have burned millions of acres. They have displaced hundreds of thousands of people. When state officials there blamed the fires on climate change. Mr. President, you said, I don’t think the science knows. Over your four years, you have pulled the US out of the Paris Climate Accord. You have rolled back a number of Obama Environmental records, what do you believe about the science of climate change and what will you do in the next four years to confront it?",1
642,Donald Trump,00:49:27,"I want crystal clean water and air. I want beautiful clean air. We have now the lowest carbon… If you look at our numbers right now, we are doing phenomenally. But I haven’t destroyed our businesses. Our businesses aren’t put out of commission. If you look at the Paris Accord, it was a disaster from our standpoint. And people are actually very happy about what’s going on because our businesses are doing well. As far as the fires are concerned, you need forest management. In addition to everything else, the forest floors are loaded up with trees, dead trees that are years old and they’re like tinder and leaves and everything else. You drop a cigarette in there the whole forest burns down. You’ve got to have forest management.",1
643,Moderator,00:50:09,"What do you believe about the science of climate change, sir?",1
644,Donald Trump,00:50:13,"I believe that we have to do everything we can to have immaculate air immaculate water and do whatever else we can that’s good. We’re planting a billion trees, the Billion Tree Project and it’s very exciting for a lot of people.",1
